id,created_time,message
1639535079461235_716701215077964,2014-10-10T18:20:09+0000,"The Flipkart sale started at 8:00am.
""""The Flipkart sale just ended at 8:05am. Thank you!!""""
#flipkartbigbillionscam"
1639535079461235_716046748476744,2014-10-09T18:41:37+0000,"I think the next people to feature in Satyamev Jayate would be #FlipkartBigBillionDaySale heartbreaks!! 
😎😎😎"
1639535079461235_714883868593032,2014-10-07T18:18:30+0000,Man!!
1639535079461235_714858048595614,2014-10-07T17:27:20+0000,WTF?
1639535079461235_714855068595912,2014-10-07T17:20:16+0000,_Shared_story/link
1639535079461235_714850898596329,2014-10-07T17:10:53+0000,#BigBillionDay
1639535079461235_713042695443816,2014-10-04T19:25:13+0000,#epic
1639535079461235_713040778777341,2014-10-04T19:20:37+0000,"""One Third of U.S High School students have IPhone"".
And I'm stuck with Nokia!!"
1639535079461235_712840028797416,2014-10-04T11:09:39+0000,_Shared_story/link
1639535079461235_710687939012625,2014-09-30T06:17:51+0000,"That feeling when you study all day and your Mum says ""Din Bhar TV Dekh Raha Tha""."
1639535079461235_707343552680397,2014-09-23T13:56:48+0000,"I am addicted towards sleep.
I sleep everyday."
1639535079461235_704743502940402,2014-09-17T17:30:58+0000,_Shared_story/link
1639535079461235_704743192940433,2014-09-17T17:30:05+0000,_Shared_story/link
1639535079461235_704668712947881,2014-09-17T14:07:17+0000,_Shared_story/link
1639535079461235_703744573040295,2014-09-15T14:35:27+0000,Awesome app. Must try..
1639535079461235_703735353041217,2014-09-15T14:05:40+0000,Well done
1639535079461235_703345816413504,2014-09-14T17:24:27+0000,_Shared_story/link
1639535079461235_703344506413635,2014-09-14T17:20:11+0000,_Shared_story/link
1639535079461235_703138759767543,2014-09-14T06:38:22+0000,_Shared_story/link
1639535079461235_703138476434238,2014-09-14T06:36:44+0000,_Shared_story/link
1639535079461235_701062306641855,2014-09-09T14:15:23+0000,I still love to play with balloons.
1639535079461235_700678016680284,2014-09-08T17:46:43+0000,_Shared_story/link
1639535079461235_700193750062044,2014-09-07T17:13:22+0000,#truth
1639535079461235_700181036729982,2014-09-07T16:38:11+0000,їf ьёїйg нот ї$ a cяїмё ... Aяяё$T Mє.😋😋😋
1639535079461235_699723693442383,2014-09-06T18:45:51+0000,_Shared_story/link
1639535079461235_699722630109156,2014-09-06T18:45:16+0000,#chinese
1639535079461235_699722043442548,2014-09-06T18:42:53+0000,Happens #everytime....
1639535079461235_699289820152437,2014-09-05T16:47:21+0000,#rapgod
1639535079461235_696508767097209,2014-08-31T15:31:16+0000,Remembering the #0lddays
1639535079461235_694968803917872,2014-08-28T17:48:28+0000,Three girls holding lot of #pressure
1639535079461235_694967437251342,2014-08-28T17:43:18+0000,_Shared_story/link
1639535079461235_694967333918019,2014-08-28T17:43:01+0000,_Shared_story/link
1639535079461235_694928930588526,2014-08-28T15:35:47+0000,Me too...😢😢😢
1639535079461235_694896410591778,2014-08-28T13:55:10+0000,_Shared_story/link
1639535079461235_690345414380211,2014-08-19T15:41:45+0000,#gangnamstyle
1639535079461235_688050371276382,2014-08-14T13:48:01+0000,#0ldDays
1639535079461235_687018328046253,2014-08-12T14:43:36+0000,"Some people are just like some schools during summer, they have, NO CLASS.#noclass"
1639535079461235_685539924860760,2014-08-09T14:38:25+0000,"Dear people who update their Facebook status every 30 seconds, there's Twitter for a reason! #shittyupdates"
1639535079461235_684416744973078,2014-08-07T16:59:35+0000,Total Slaughter....
1639535079461235_684306914984061,2014-08-07T12:30:37+0000,Join Battle Camp and win a prize!
1639535079461235_681159858632100,2014-08-01T06:54:43+0000,_Shared_story/link
1639535079461235_680495032031916,2014-07-31T00:25:15+0000,"Thru all the problems I faced, the burden on my shoulder, the pain in my heart. I've got one thing to say.. I survived."
1639535079461235_680493398698746,2014-07-31T00:19:01+0000,"When you have to make a hard decision, flip a coin. Why? Because when that coin is in the air, you suddenly know what you're hoping for."
1639535079461235_676918955722857,2014-07-24T16:07:52+0000,_Shared_story/link
1639535079461235_672515446163208,2014-07-15T15:41:08+0000,If you hate when you... say something funny & then someone says it louder & gets the credit.
1639535079461235_672514826163270,2014-07-15T15:39:09+0000,The awkward moment when you're at your friends house and your friend is getting yelled at so you just stand there and pet the dog.
1639535079461235_672514486163304,2014-07-15T15:38:50+0000,"The awkward moment when you’ve already said “what?” three times and still have no idea what the person said, so you just agree."
1639535079461235_672514276163325,2014-07-15T15:38:06+0000,That awkward moment when you can't stop laughing while telling a joke and when your finally done your friends doesn't even get it.😋😋😋😋😋
1639535079461235_672513006163452,2014-07-15T15:33:34+0000,"To find out a girl’s faults, praise her to her friends.👻👻👻👻👻👻"
1639535079461235_672510732830346,2014-07-15T15:25:56+0000,I’m in shape. Round is a shape isn’t it?
1639535079461235_672509502830469,2014-07-15T15:23:06+0000,"They keep saying the right person will come along, I think mine got hit by a truck.😮😮😮😮😮😮"
1639535079461235_672505119497574,2014-07-15T15:20:43+0000,I like work. It fascinates me. I sit and look at it for hours.☺☺☺☺☺
1639535079461235_671994982881921,2014-07-14T16:39:25+0000,To steal ideas from one person is plagiarism. To steal from many is research.😮😮😮😮😮😮
1639535079461235_671210366293716,2014-07-13T08:42:36+0000,After (M)onday and (T)uesday even the week says WTF !!🙇😯😯😯😯😯😯😯😯😯
1639535079461235_671209246293828,2014-07-13T08:40:01+0000,The real reason women live longer than men because they don’t have to live with women.
1639535079461235_671208922960527,2014-07-13T08:38:42+0000,"Eat right, exercise, die anyway.💙😋😋😋😋😋😋😋😔"
1639535079461235_671208259627260,2014-07-13T08:35:07+0000,"Nothing sucks more than that moment during an argument when you realize you’re wrong.,...... .😫😫😫😫😫😫😫"
1639535079461235_670361069711979,2014-07-11T17:06:25+0000,"The kind of weird feeling when you call the new student ""Kya AAP"" and he replies you ""KYA BEY"",.........😖😖😖😖😖😖😖😖"
1639535079461235_663272387087514,2014-06-28T13:45:36+0000,_Shared_story/link
1639535079461235_652386548176098,2014-06-07T15:26:28+0000,_Shared_story/link
1639535079461235_651419631606123,2014-06-05T13:02:45+0000,_Shared_story/link
1639535079461235_651419438272809,2014-06-05T13:02:01+0000,_Shared_story/link
1639535079461235_651418861606200,2014-06-05T12:59:48+0000,_Shared_story/link
1639535079461235_651418568272896,2014-06-05T12:58:54+0000,_Shared_story/link
1639535079461235_651417354939684,2014-06-05T12:56:02+0000,_Shared_story/link
1639535079461235_651416318273121,2014-06-05T12:53:25+0000,_Shared_story/link
1639535079461235_651414114940008,2014-06-05T12:46:35+0000,_Shared_story/link
1639535079461235_646991372048949,2014-05-28T12:32:45+0000,_Shared_story/link
1639535079461235_646989808715772,2014-05-28T12:31:20+0000,_Shared_story/link
1639535079461235_633464323401654,2014-05-01T14:15:36+0000,http://www.veryfunnypics.com/images/userUploads/Wife%20Five%20Minutes.jpeg
1639535079461235_633463690068384,2014-05-01T14:13:40+0000,http://www.veryfunnypics.com/images/userUploads/Packing%20Vacation.jpg
1639535079461235_633462396735180,2014-05-01T14:08:58+0000,http://www.veryfunnypics.com/images/userUploads/Fixing%20Computers.jpg
1639535079461235_633462303401856,2014-05-01T14:08:39+0000,http://www.veryfunnypics.com/images/userUploads/Computer%20Told%20Me.jpeg
1639535079461235_633460316735388,2014-05-01T14:02:42+0000,http://cdn.dualshockers.com/wp-content/uploads/2010/03/dj-hero-eminem-jay-z-01.jpg?57efa4
1639535079461235_633460180068735,2014-05-01T14:02:17+0000,http://www.killerhiphop.com/wp-content/uploads/2010/11/em-vs-jay.jpg
1639535079461235_624160804332006,2014-04-13T11:12:26+0000,_Shared_story/link
1639535079461235_624152644332822,2014-04-13T11:06:06+0000,_Shared_story/link
1639535079461235_624151317666288,2014-04-13T11:01:22+0000,_Shared_story/link
1639535079461235_624149220999831,2014-04-13T10:52:20+0000,_Shared_story/link
1639535079461235_624149057666514,2014-04-13T10:51:16+0000,_Shared_story/link
1639535079461235_624146857666734,2014-04-13T10:41:11+0000,_Shared_story/link
